filename,filepath,type,category,subcategory,emotion,language,speaker_id,utterance_id,label,transcription,dataset
a08 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (6).wav,speech,emotional,anger,anger,,6,08,anger,,ActedEmo
a09 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (1).wav,speech,emotional,anger,anger,,1,09,anger,,ActedEmo
a09 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (2).wav,speech,emotional,anger,anger,,2,09,anger,,ActedEmo
a09 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (3).wav,speech,emotional,anger,anger,,3,09,anger,,ActedEmo
a09 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (4).wav,speech,emotional,anger,anger,,4,09,anger,,ActedEmo
a09 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (5).wav,speech,emotional,anger,anger,,5,09,anger,,ActedEmo
a09 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a09 (6).wav,speech,emotional,anger,anger,,6,09,anger,,ActedEmo
a10 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (1).wav,speech,emotional,anger,anger,,1,10,anger,,ActedEmo
a10 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (2).wav,speech,emotional,anger,anger,,2,10,anger,,ActedEmo
a10 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (3).wav,speech,emotional,anger,anger,,3,10,anger,,ActedEmo
a10 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (4).wav,speech,emotional,anger,anger,,4,10,anger,,ActedEmo
a10 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (5).wav,speech,emotional,anger,anger,,5,10,anger,,ActedEmo
a10 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a10 (6).wav,speech,emotional,anger,anger,,6,10,anger,,ActedEmo
a11 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (1).wav,speech,emotional,anger,anger,,1,11,anger,,ActedEmo
a11 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (2).wav,speech,emotional,anger,anger,,2,11,anger,,ActedEmo
a11 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (3).wav,speech,emotional,anger,anger,,3,11,anger,,ActedEmo
a11 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (4).wav,speech,emotional,anger,anger,,4,11,anger,,ActedEmo
a11 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (5).wav,speech,emotional,anger,anger,,5,11,anger,,ActedEmo
a11 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a11 (6).wav,speech,emotional,anger,anger,,6,11,anger,,ActedEmo
a12 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (1).wav,speech,emotional,anger,anger,,1,12,anger,,ActedEmo
a12 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (2).wav,speech,emotional,anger,anger,,2,12,anger,,ActedEmo
a12 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (3).wav,speech,emotional,anger,anger,,3,12,anger,,ActedEmo
a12 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (4).wav,speech,emotional,anger,anger,,4,12,anger,,ActedEmo
a12 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (5).wav,speech,emotional,anger,anger,,5,12,anger,,ActedEmo
a12 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a12 (6).wav,speech,emotional,anger,anger,,6,12,anger,,ActedEmo
a13 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (1).wav,speech,emotional,anger,anger,,1,13,anger,,ActedEmo
a13 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (2).wav,speech,emotional,anger,anger,,2,13,anger,,ActedEmo
a13 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (3).wav,speech,emotional,anger,anger,,3,13,anger,,ActedEmo
a13 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (4).wav,speech,emotional,anger,anger,,4,13,anger,,ActedEmo
a13 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (5).wav,speech,emotional,anger,anger,,5,13,anger,,ActedEmo
a13 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a13 (6).wav,speech,emotional,anger,anger,,6,13,anger,,ActedEmo
a14 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (1).wav,speech,emotional,anger,anger,,1,14,anger,,ActedEmo
a14 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (2).wav,speech,emotional,anger,anger,,2,14,anger,,ActedEmo
a14 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (3).wav,speech,emotional,anger,anger,,3,14,anger,,ActedEmo
a14 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (4).wav,speech,emotional,anger,anger,,4,14,anger,,ActedEmo
a14 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (5).wav,speech,emotional,anger,anger,,5,14,anger,,ActedEmo
a14 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a14 (6).wav,speech,emotional,anger,anger,,6,14,anger,,ActedEmo
a15 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (1).wav,speech,emotional,anger,anger,,1,15,anger,,ActedEmo
a15 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (2).wav,speech,emotional,anger,anger,,2,15,anger,,ActedEmo
a15 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (3).wav,speech,emotional,anger,anger,,3,15,anger,,ActedEmo
a15 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (4).wav,speech,emotional,anger,anger,,4,15,anger,,ActedEmo
a15 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (5).wav,speech,emotional,anger,anger,,5,15,anger,,ActedEmo
a15 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a15 (6).wav,speech,emotional,anger,anger,,6,15,anger,,ActedEmo
a16 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (1).wav,speech,emotional,anger,anger,,1,16,anger,,ActedEmo
a16 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (2).wav,speech,emotional,anger,anger,,2,16,anger,,ActedEmo
a16 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (3).wav,speech,emotional,anger,anger,,3,16,anger,,ActedEmo
a16 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (4).wav,speech,emotional,anger,anger,,4,16,anger,,ActedEmo
a16 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (5).wav,speech,emotional,anger,anger,,5,16,anger,,ActedEmo
a16 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a16 (6).wav,speech,emotional,anger,anger,,6,16,anger,,ActedEmo
a17 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (1).wav,speech,emotional,anger,anger,,1,17,anger,,ActedEmo
a17 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (2).wav,speech,emotional,anger,anger,,2,17,anger,,ActedEmo
a17 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (3).wav,speech,emotional,anger,anger,,3,17,anger,,ActedEmo
a17 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (4).wav,speech,emotional,anger,anger,,4,17,anger,,ActedEmo
a17 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (5).wav,speech,emotional,anger,anger,,5,17,anger,,ActedEmo
a17 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a17 (6).wav,speech,emotional,anger,anger,,6,17,anger,,ActedEmo
a18 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (1).wav,speech,emotional,anger,anger,,1,18,anger,,ActedEmo
a18 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (2).wav,speech,emotional,anger,anger,,2,18,anger,,ActedEmo
a18 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (3).wav,speech,emotional,anger,anger,,3,18,anger,,ActedEmo
a18 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (4).wav,speech,emotional,anger,anger,,4,18,anger,,ActedEmo
a18 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (5).wav,speech,emotional,anger,anger,,5,18,anger,,ActedEmo
a18 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a18 (6).wav,speech,emotional,anger,anger,,6,18,anger,,ActedEmo
a19 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (1).wav,speech,emotional,anger,anger,,1,19,anger,,ActedEmo
a19 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (2).wav,speech,emotional,anger,anger,,2,19,anger,,ActedEmo
a19 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (3).wav,speech,emotional,anger,anger,,3,19,anger,,ActedEmo
a19 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (4).wav,speech,emotional,anger,anger,,4,19,anger,,ActedEmo
a19 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (5).wav,speech,emotional,anger,anger,,5,19,anger,,ActedEmo
a19 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a19 (6).wav,speech,emotional,anger,anger,,6,19,anger,,ActedEmo
a20 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (1).wav,speech,emotional,anger,anger,,1,20,anger,,ActedEmo
a20 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (2).wav,speech,emotional,anger,anger,,2,20,anger,,ActedEmo
a20 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (3).wav,speech,emotional,anger,anger,,3,20,anger,,ActedEmo
a20 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (4).wav,speech,emotional,anger,anger,,4,20,anger,,ActedEmo
a20 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (5).wav,speech,emotional,anger,anger,,5,20,anger,,ActedEmo
a20 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a20 (6).wav,speech,emotional,anger,anger,,6,20,anger,,ActedEmo
d01 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (1).wav,speech,emotional,disgust,disgust,,1,01,disgust,,ActedEmo
d01 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (2).wav,speech,emotional,disgust,disgust,,2,01,disgust,,ActedEmo
d01 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (3).wav,speech,emotional,disgust,disgust,,3,01,disgust,,ActedEmo
d01 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (4).wav,speech,emotional,disgust,disgust,,4,01,disgust,,ActedEmo
d01 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (5).wav,speech,emotional,disgust,disgust,,5,01,disgust,,ActedEmo
d01 (5)b.wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (5)b.wav,speech,emotional,disgust,disgust,,5,01,disgust,,ActedEmo
d01 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d01 (6).wav,speech,emotional,disgust,disgust,,6,01,disgust,,ActedEmo
d02 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (1).wav,speech,emotional,disgust,disgust,,1,02,disgust,,ActedEmo
d02 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (2).wav,speech,emotional,disgust,disgust,,2,02,disgust,,ActedEmo
d02 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (3).wav,speech,emotional,disgust,disgust,,3,02,disgust,,ActedEmo
d02 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (4).wav,speech,emotional,disgust,disgust,,4,02,disgust,,ActedEmo
d02 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (5).wav,speech,emotional,disgust,disgust,,5,02,disgust,,ActedEmo
d02 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d02 (6).wav,speech,emotional,disgust,disgust,,6,02,disgust,,ActedEmo
d03 (01).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (01).wav,speech,emotional,disgust,disgust,,01,03,disgust,,ActedEmo
d03 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (2).wav,speech,emotional,disgust,disgust,,2,03,disgust,,ActedEmo
d03 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (3).wav,speech,emotional,disgust,disgust,,3,03,disgust,,ActedEmo
d03 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (4).wav,speech,emotional,disgust,disgust,,4,03,disgust,,ActedEmo
d03 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (5).wav,speech,emotional,disgust,disgust,,5,03,disgust,,ActedEmo
d03 (5)b.wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (5)b.wav,speech,emotional,disgust,disgust,,5,03,disgust,,ActedEmo
d03 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d03 (6).wav,speech,emotional,disgust,disgust,,6,03,disgust,,ActedEmo
d04 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (1).wav,speech,emotional,disgust,disgust,,1,04,disgust,,ActedEmo
d04 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (2).wav,speech,emotional,disgust,disgust,,2,04,disgust,,ActedEmo
d04 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (3).wav,speech,emotional,disgust,disgust,,3,04,disgust,,ActedEmo
d04 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (4).wav,speech,emotional,disgust,disgust,,4,04,disgust,,ActedEmo
d04 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (5).wav,speech,emotional,disgust,disgust,,5,04,disgust,,ActedEmo
d04 (5)b.wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (5)b.wav,speech,emotional,disgust,disgust,,5,04,disgust,,ActedEmo
d04 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\disgust\d04 (6).wav,speech,emotional,disgust,disgust,,6,04,disgust,,ActedEmo
